id,type,length,start_time,end_time,start_name,start_lat,start_lon,end_name,end_lat,end_lon
248,Internal,0.017380149148017734,2023-06-27 21:45:51,2023-07-04 06:00:51,KHM,13.0,105.0,KHM,13.0,105.0
249,External,0.058103388797272115,2023-07-04 06:00:51,2023-07-25 11:00:00,KHM,13.0,105.0,LAO,18.0,105.0
250,External,0.058103388797272115,2023-07-04 06:00:51,2023-07-25 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
251,Internal,0.002969058845599379,2023-06-24 02:39:52,2023-06-25 04:40:24,KHM,13.0,105.0,KHM,13.0,105.0
252,Internal,0.004512281122491371,2023-06-25 04:40:24,2023-06-26 20:12:03,KHM,13.0,105.0,KHM,13.0,105.0
253,Internal,0.005035125195991058,2023-06-26 20:12:03,2023-06-28 16:18:31,KHM,13.0,105.0,KHM,13.0,105.0
254,External,0.0569282183032062,2023-06-28 16:18:31,2023-07-19 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
255,External,0.05418849227584881,2023-06-28 16:18:31,2023-07-18 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
256,External,0.04826471336218292,2023-06-26 20:12:03,2023-07-14 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
257,External,0.052776994484674294,2023-06-25 04:40:24,2023-07-14 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
258,Internal,0.051230677391206986,2023-05-20 16:43:27,2023-06-08 09:30:18,KHM,13.0,105.0,KHM,13.0,105.0
259,Internal,0.02393637879289888,2023-06-08 09:30:18,2023-06-17 03:11:16,KHM,13.0,105.0,KHM,13.0,105.0
260,Internal,0.005646067078965686,2023-06-17 03:11:16,2023-06-19 04:38:50,KHM,13.0,105.0,KHM,13.0,105.0
261,Internal,0.004265906378576267,2023-06-19 04:38:50,2023-06-20 18:01:00,KHM,13.0,105.0,KHM,13.0,105.0
262,External,0.05947297484746247,2023-06-20 18:01:00,2023-07-12 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
263,Internal,0.03416910981113142,2023-06-20 18:01:00,2023-07-03 05:20:17,KHM,13.0,105.0,KHM,13.0,105.0
264,Internal,0.005613457270162478,2023-07-03 05:20:17,2023-07-05 06:30:43,KHM,13.0,105.0,KHM,13.0,105.0
265,External,0.05530684612226942,2023-07-05 06:30:43,2023-07-25 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
266,External,0.05530684612226942,2023-07-05 06:30:43,2023-07-25 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
267,External,0.02530386503633105,2023-07-03 05:20:17,2023-07-12 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
268,Internal,0.010045653702373397,2023-06-19 04:38:50,2023-06-22 20:38:50,KHM,13.0,105.0,KHM,13.0,105.0
269,Internal,0.00737117572567908,2023-06-22 20:38:50,2023-06-25 13:13:07,KHM,13.0,105.0,KHM,13.0,105.0
270,Internal,0.006093894936091596,2023-06-25 13:13:07,2023-06-27 18:36:04,KHM,13.0,105.0,KHM,13.0,105.0
271,External,0.07036514316328073,2023-06-27 18:36:04,2023-07-23 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
272,Internal,0.009583721367523113,2023-06-27 18:36:04,2023-07-01 06:33:17,KHM,13.0,105.0,KHM,13.0,105.0
273,External,0.0662608738504724,2023-07-01 06:33:17,2023-07-25 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
