ID	collection_date	location
M-167	2023-06-30	VNM
M-168	2023-06-13	VNM
M-169	2023-06-09	VNM
M-170	2023-06-26	KHM
M-171	2023-06-19	VNM
M-172	2023-06-09	VNM
M-173	2023-06-17	VNM
M-174	2023-06-09	VNM
M-175	2023-06-09	KHM
M-176	2023-06-13	KHM
M-177	2023-06-14	KHM
M-178	2023-06-09	VNM
M-179	2023-06-15	VNM
M-180	2023-07-04	VNM
M-181	2023-06-15	VNM
H-47	2023-07-04	VNM
H-48	2023-07-03	VNM
H-49	2023-07-07	VNM
H-50	2023-07-03	VNM
M-182	2023-06-09	VNM
M-183	2023-06-21	VNM
M-184	2023-06-14	VNM
M-185	2023-06-15	VNM
M-186	2023-06-16	VNM
M-187	2023-06-11	VNM
M-188	2023-06-16	KHM
M-189	2023-06-26	VNM
M-190	2023-06-10	VNM
M-191	2023-06-14	VNM
M-192	2023-06-21	VNM
M-193	2023-06-09	VNM
M-194	2023-06-09	VNM
M-195	2023-06-09	VNM
M-196	2023-06-22	VNM
M-197	2023-06-23	VNM
H-51	2023-07-03	VNM
H-52	2023-07-06	VNM
H-53	2023-07-08	VNM
M-198	2023-06-14	KHM
M-199	2023-07-02	VNM
M-200	2023-06-10	KHM
M-201	2023-06-26	VNM
M-202	2023-06-10	VNM
M-203	2023-06-13	KHM
M-204	2023-06-10	VNM
M-205	2023-06-16	KHM
M-206	2023-06-15	KHM
M-207	2023-06-13	VNM
M-208	2023-06-10	VNM
M-209	2023-06-19	VNM
M-210	2023-06-14	VNM
M-211	2023-06-14	VNM
M-212	2023-06-10	CHN
M-213	2023-06-11	VNM
H-54	2023-07-03	VNM
H-55	2023-07-09	VNM
H-56	2023-07-06	KHM
H-57	2023-07-08	THA
H-58	2023-07-04	KHM
H-59	2023-07-07	VNM
H-60	2023-07-07	VNM
H-61	2023-07-07	VNM
H-62	2023-07-07	VNM
M-214	2023-07-02	KHM
M-215	2023-06-15	KHM
M-216	2023-06-11	KHM
M-217	2023-06-15	KHM
M-218	2023-06-14	VNM
M-219	2023-06-14	KHM
M-220	2023-06-13	VNM
M-221	2023-06-11	VNM
M-222	2023-06-17	VNM
M-223	2023-06-23	VNM
M-224	2023-06-14	VNM
M-225	2023-06-15	VNM
M-226	2023-06-11	VNM
M-227	2023-06-15	VNM
M-228	2023-06-11	VNM
M-229	2023-06-13	VNM
M-230	2023-06-11	VNM
H-63	2023-07-06	VNM
H-64	2023-07-06	KHM
H-65	2023-07-08	KHM
H-66	2023-07-08	VNM
H-67	2023-07-04	VNM
H-68	2023-07-08	VNM
H-69	2023-07-08	VNM
M-231	2023-06-22	VNM
M-232	2023-06-13	VNM
M-233	2023-06-14	VNM
M-234	2023-06-14	KHM
M-235	2023-06-14	VNM
M-236	2023-06-14	VNM
M-237	2023-06-20	CHN
M-238	2023-06-13	VNM
M-239	2023-06-13	VNM
M-240	2023-06-19	VNM
M-241	2023-07-02	VNM
M-242	2023-06-22	VNM
H-70	2023-07-08	VNM
H-71	2023-07-07	VNM
H-72	2023-07-10	KHM
H-73	2023-07-08	KHM
H-74	2023-07-06	KHM
H-75	2023-07-08	VNM
H-76	2023-07-08	THA
M-243	2023-06-14	VNM
M-244	2023-07-01	VNM
M-245	2023-06-16	KHM
M-246	2023-06-15	VNM
M-247	2023-06-21	VNM
M-248	2023-06-16	VNM
M-249	2023-06-14	VNM
M-250	2023-06-16	CHN
M-251	2023-06-17	VNM
M-252	2023-06-21	VNM
M-253	2023-06-16	VNM
M-254	2023-06-14	VNM
M-255	2023-06-17	VNM
M-256	2023-07-02	VNM
M-257	2023-06-14	VNM
H-77	2023-07-13	VNM
H-78	2023-07-08	VNM
H-79	2023-07-08	VNM
H-80	2023-07-09	VNM
H-81	2023-07-07	VNM
H-82	2023-07-08	VNM
H-83	2023-07-08	VNM
M-258	2023-06-19	KHM
M-259	2023-06-20	VNM
M-260	2023-07-08	LAO
M-261	2023-06-20	VNM
M-262	2023-06-15	VNM
M-263	2023-07-06	CHN
M-264	2023-06-20	CHN
M-265	2023-07-01	VNM
M-266	2023-06-15	VNM
M-267	2023-06-26	VNM
M-268	2023-07-01	VNM
M-269	2023-06-22	VNM
M-270	2023-06-21	VNM
M-271	2023-06-21	VNM
M-272	2023-07-02	VNM
M-273	2023-06-26	VNM
M-274	2023-06-26	KHM
M-275	2023-06-25	THA
M-276	2023-06-16	THA
H-84	2023-07-10	VNM
H-85	2023-07-09	VNM
H-86	2023-07-10	KHM
H-87	2023-07-14	KHM
H-88	2023-07-09	VNM
H-89	2023-07-13	KHM
H-90	2023-07-12	VNM
H-91	2023-07-10	VNM
H-92	2023-07-09	VNM
H-93	2023-07-12	VNM
H-94	2023-07-13	VNM
M-277	2023-06-26	VNM
M-278	2023-06-17	VNM
M-279	2023-06-21	VNM
M-280	2023-06-15	VNM
M-281	2023-06-26	VNM
M-282	2023-06-15	VNM
M-283	2023-06-15	VNM
M-284	2023-06-17	VNM
M-285	2023-06-21	VNM
M-286	2023-06-22	VNM
M-287	2023-06-16	VNM
M-288	2023-06-26	VNM
M-289	2023-06-26	VNM
M-290	2023-06-16	VNM
M-291	2023-06-15	VNM
M-292	2023-06-17	VNM
M-293	2023-07-02	VNM
M-294	2023-06-25	VNM
M-295	2023-06-21	VNM
M-296	2023-06-21	VNM
M-297	2023-06-21	VNM
M-298	2023-06-16	KHM
H-100	2023-07-10	VNM
H-101	2023-07-10	KHM
H-102	2023-07-13	VNM
H-95	2023-07-09	VNM
H-96	2023-07-12	KHM
H-97	2023-07-12	VNM
H-98	2023-07-14	LAO
H-99	2023-07-13	KHM
M-299	2023-06-17	VNM
M-300	2023-06-30	VNM
M-301	2023-07-03	VNM
M-302	2023-06-21	VNM
M-303	2023-07-03	VNM
M-304	2023-06-26	VNM
M-305	2023-06-25	VNM
M-306	2023-06-21	VNM
M-307	2023-06-23	VNM
M-308	2023-06-23	VNM
M-309	2023-06-25	VNM
M-310	2023-06-19	VNM
M-311	2023-06-21	VNM
M-312	2023-06-22	VNM
M-313	2023-06-17	VNM
M-314	2023-06-22	VNM
M-315	2023-06-22	VNM
M-316	2023-07-02	VNM
M-317	2023-06-22	KHM
M-318	2023-06-19	VNM
M-319	2023-06-21	KHM
M-320	2023-06-19	VNM
M-321	2023-06-23	VNM
M-322	2023-06-30	KHM
M-323	2023-06-28	VNM
H-103	2023-07-13	VNM
H-104	2023-07-12	KHM
H-105	2023-07-14	KHM
H-106	2023-07-08	CHN
H-107	2023-07-14	VNM
H-108	2023-07-13	KHM
H-109	2023-07-10	VNM
H-110	2023-07-13	KHM
H-111	2023-07-13	VNM
H-112	2023-07-14	CHN
H-113	2023-07-10	VNM
M-324	2023-06-30	KHM
M-325	2023-06-27	KHM
M-326	2023-06-19	CHN
M-327	2023-06-17	CHN
M-328	2023-07-10	CHN
M-329	2023-07-02	VNM
M-330	2023-06-21	VNM
M-331	2023-06-27	VNM
M-332	2023-06-21	VNM
M-333	2023-06-26	VNM
M-334	2023-06-19	VNM
M-335	2023-06-27	VNM
M-336	2023-06-20	VNM
M-337	2023-07-06	VNM
M-338	2023-06-19	KHM
M-339	2023-06-27	VNM
M-340	2023-06-17	KHM
M-341	2023-06-22	KHM
M-342	2023-06-23	VNM
M-343	2023-06-17	VNM
M-344	2023-06-21	VNM
M-345	2023-06-25	VNM
M-346	2023-06-25	VNM
M-347	2023-06-28	VNM
M-348	2023-06-17	VNM
M-349	2023-06-17	VNM
M-350	2023-06-23	VNM
M-351	2023-06-19	VNM
M-352	2023-06-25	KHM
M-353	2023-06-26	KHM
M-354	2023-06-17	KHM
M-355	2023-06-21	KHM
M-356	2023-06-20	KHM
H-114	2023-07-12	KHM
H-115	2023-07-14	KHM
H-116	2023-07-13	KHM
H-117	2023-07-12	KHM
H-118	2023-07-14	VNM
H-119	2023-07-13	VNM
H-120	2023-07-14	THA
H-121	2023-07-14	KHM
H-122	2023-07-13	THA
H-123	2023-07-15	VNM
H-124	2023-07-13	VNM
H-125	2023-07-08	KHM
M-357	2023-06-23	VNM
M-358	2023-06-19	VNM
M-359	2023-07-02	VNM
M-360	2023-06-26	VNM
M-361	2023-07-10	VNM
M-362	2023-06-20	VNM
M-363	2023-06-28	VNM
M-364	2023-06-22	VNM
M-365	2023-06-25	VNM
M-366	2023-06-21	VNM
M-367	2023-06-25	VNM
M-368	2023-06-21	KHM
M-369	2023-06-22	KHM
M-370	2023-06-19	KHM
M-371	2023-07-02	VNM
M-372	2023-06-20	VNM
M-373	2023-06-25	VNM
M-374	2023-06-21	VNM
M-375	2023-06-20	VNM
M-376	2023-06-21	VNM
M-377	2023-06-25	KHM
M-378	2023-06-20	KHM
M-379	2023-07-13	VNM
M-380	2023-06-21	VNM
M-381	2023-06-27	VNM
M-382	2023-06-21	VNM
M-383	2023-06-19	KHM
M-384	2023-06-19	VNM
M-385	2023-06-26	VNM
M-386	2023-06-20	VNM
M-387	2023-06-26	VNM
M-388	2023-06-21	KHM
M-389	2023-06-20	KHM
M-390	2023-06-20	VNM
M-391	2023-06-20	VNM
