ID	collection_date	location
M-4692	2023-07-14	KHM
M-4693	2023-07-25	VNM
M-4694	2023-07-25	VNM
M-4695	2023-07-14	VNM
M-4696	2023-07-20	KHM
M-4697	2023-07-14	VNM
M-4698	2023-07-14	VNM
M-4699	2023-07-20	VNM
M-4700	2023-07-15	VNM
M-4701	2023-07-14	KHM
M-4702	2023-07-17	VNM
M-4703	2023-07-15	VNM
M-4704	2023-07-17	CHN
M-4705	2023-07-14	CHN
M-4706	2023-07-14	VNM
M-4707	2023-07-14	VNM
M-4708	2023-07-15	VNM
M-4709	2023-07-25	VNM
M-4710	2023-07-14	CHN
M-4711	2023-07-15	VNM
M-4712	2023-07-23	VNM
M-4713	2023-07-20	VNM
M-4714	2023-07-21	VNM
M-4715	2023-07-25	VNM
M-4716	2023-07-14	VNM
M-4717	2023-07-25	KHM
M-4718	2023-07-14	KHM
M-4719	2023-07-17	VNM
M-4720	2023-07-17	KHM
M-4721	2023-07-14	KHM
M-4722	2023-07-20	KHM
M-4723	2023-07-18	VNM
M-4724	2023-07-15	VNM
M-4725	2023-07-19	VNM
M-4726	2023-07-21	KHM
M-4727	2023-07-14	KHM
M-4728	2023-07-19	KHM
M-4729	2023-07-24	KHM
M-4730	2023-07-25	VNM
M-4731	2023-07-18	VNM
M-4732	2023-07-14	KHM
M-4733	2023-07-17	VNM
M-4734	2023-07-21	VNM
M-4735	2023-07-21	VNM
M-4736	2023-07-18	VNM
M-4737	2023-07-14	KHM
M-4738	2023-07-15	VNM
M-4739	2023-07-19	VNM
M-4740	2023-07-23	VNM
M-4741	2023-07-14	VNM
M-4742	2023-07-20	VNM
M-4743	2023-07-15	KHM
M-4744	2023-07-17	KHM
M-4745	2023-07-25	VNM
M-4746	2023-07-14	VNM
M-4747	2023-07-14	KHM
M-4748	2023-07-14	KHM
M-4749	2023-07-14	VNM
M-4750	2023-07-25	VNM
M-4751	2023-07-17	KHM
M-4752	2023-07-14	VNM
M-4753	2023-07-17	VNM
M-4754	2023-07-15	VNM
M-4755	2023-07-14	VNM
M-4756	2023-07-15	CHN
M-4757	2023-07-25	CHN
M-4758	2023-07-25	VNM
M-4759	2023-07-14	VNM
M-4760	2023-07-14	VNM
M-4761	2023-07-24	VNM
M-4762	2023-07-17	VNM
M-4763	2023-07-14	KHM
M-4764	2023-07-19	KHM
M-4765	2023-07-15	VNM
M-4766	2023-07-14	VNM
M-4767	2023-07-14	VNM
M-4768	2023-07-23	VNM
M-4769	2023-07-14	VNM
M-4770	2023-07-14	VNM
M-4771	2023-07-18	VNM
M-4772	2023-07-14	VNM
M-4773	2023-07-19	KHM
M-4774	2023-07-14	KHM
M-4775	2023-07-14	VNM
M-4776	2023-07-25	VNM
M-4777	2023-07-25	KHM
M-4778	2023-07-14	THA
M-4779	2023-07-14	VNM
M-4780	2023-07-24	VNM
M-4781	2023-07-15	VNM
M-4782	2023-07-14	VNM
M-4783	2023-07-14	VNM
M-4784	2023-07-19	KHM
M-4785	2023-07-14	KHM
M-4786	2023-07-25	VNM
M-4787	2023-07-15	VNM
M-4788	2023-07-14	LAO
M-4789	2023-07-18	VNM
M-4790	2023-07-15	KHM
M-4791	2023-07-14	KHM
M-4792	2023-07-25	VNM
M-4793	2023-07-23	VNM
M-4794	2023-07-14	VNM
M-4795	2023-07-15	KHM
M-4796	2023-07-20	CHN
M-4797	2023-07-24	VNM
M-4798	2023-07-21	VNM
M-4799	2023-07-25	KHM
M-4800	2023-07-25	KHM
M-4801	2023-07-25	VNM
M-4802	2023-07-20	KHM
M-4803	2023-07-25	KHM
M-4804	2023-07-25	KHM
M-4805	2023-07-14	KHM
M-4806	2023-07-15	KHM
M-4807	2023-07-18	KHM
M-4808	2023-07-14	CHN
M-4809	2023-07-14	VNM
M-4810	2023-07-14	KHM
M-4811	2023-07-14	VNM
M-4812	2023-07-23	VNM
M-4813	2023-07-18	VNM
M-4814	2023-07-14	VNM
M-4815	2023-07-25	KHM
M-4816	2023-07-18	VNM
M-4817	2023-07-25	VNM
M-4818	2023-07-17	VNM
M-4819	2023-07-14	VNM
M-4820	2023-07-14	VNM
M-4821	2023-07-14	KHM
M-4822	2023-07-14	VNM
M-4823	2023-07-14	KHM
M-4824	2023-07-18	VNM
M-4825	2023-07-25	THA
M-4826	2023-07-14	THA
M-4827	2023-07-15	VNM
M-4828	2023-07-15	KHM
M-4829	2023-07-24	VNM
M-4830	2023-07-19	THA
M-4831	2023-07-14	CHN
M-4832	2023-07-14	CHN
M-4833	2023-07-20	VNM
M-4834	2023-07-19	VNM
M-4835	2023-07-21	VNM
M-4836	2023-07-17	KHM
M-4837	2023-07-17	VNM
M-4838	2023-07-18	VNM
M-4839	2023-07-14	KHM
M-4840	2023-07-14	KHM
M-4841	2023-07-19	KHM
M-4842	2023-07-25	VNM
M-4843	2023-07-25	VNM
M-4844	2023-07-23	VNM
M-4845	2023-07-18	VNM
M-4846	2023-07-15	VNM
M-4847	2023-07-18	VNM
M-4848	2023-07-14	THA
M-4849	2023-07-14	THA
M-4850	2023-07-19	VNM
M-4851	2023-07-15	KHM
M-4852	2023-07-25	KHM
M-4853	2023-07-24	KHM
M-4854	2023-07-25	THA
M-4855	2023-07-17	KHM
M-4856	2023-07-25	VNM
M-4857	2023-07-25	VNM
M-4858	2023-07-21	VNM
M-4859	2023-07-20	VNM
M-4860	2023-07-14	LAO
M-4861	2023-07-19	KHM
M-4862	2023-07-19	VNM
M-4863	2023-07-17	VNM
M-4864	2023-07-25	CHN
M-4865	2023-07-25	CHN
M-4866	2023-07-19	VNM
M-4867	2023-07-18	VNM
M-4868	2023-07-25	VNM
M-4869	2023-07-14	VNM
M-4870	2023-07-17	VNM
M-4871	2023-07-19	VNM
M-4872	2023-07-14	VNM
M-4873	2023-07-15	KHM
M-4874	2023-07-14	VNM
M-4875	2023-07-14	VNM
M-4876	2023-07-25	VNM
M-4877	2023-07-25	KHM
M-4878	2023-07-14	VNM
M-4879	2023-07-14	VNM
M-4880	2023-07-15	VNM
M-4881	2023-07-25	VNM
M-4882	2023-07-14	KHM
M-4883	2023-07-14	VNM
M-4884	2023-07-14	VNM
M-4885	2023-07-19	VNM
M-4886	2023-07-14	KHM
M-4887	2023-07-18	VNM
M-4888	2023-07-18	VNM
M-4889	2023-07-25	VNM
M-4890	2023-07-19	VNM
M-4891	2023-07-14	KHM
M-4892	2023-07-25	KHM
M-4893	2023-07-17	VNM
M-4894	2023-07-23	KHM
M-4895	2023-07-23	KHM
M-4896	2023-07-14	KHM
M-4897	2023-07-14	KHM
M-4898	2023-07-14	KHM
M-4899	2023-07-19	VNM
M-4900	2023-07-23	VNM
M-4901	2023-07-15	KHM
M-4902	2023-07-25	KHM
M-4903	2023-07-14	KHM
M-4904	2023-07-25	VNM
M-4905	2023-07-15	VNM
M-4906	2023-07-15	VNM
M-4907	2023-07-15	VNM
M-4908	2023-07-19	VNM
M-4909	2023-07-14	CHN
M-4910	2023-07-25	VNM
M-4911	2023-07-20	VNM
M-4912	2023-07-25	VNM
M-4913	2023-07-19	VNM
M-4914	2023-07-14	CHN
M-4915	2023-07-24	CHN
M-4916	2023-07-14	VNM
M-4917	2023-07-19	VNM
M-4918	2023-07-24	VNM
M-4919	2023-07-18	KHM
H-1551	2023-07-25	VNM
H-1552	2023-07-25	VNM
H-1553	2023-07-25	KHM
H-1554	2023-07-25	KHM
H-1555	2023-07-25	VNM
H-1556	2023-07-25	VNM
H-1557	2023-07-25	THA
H-1558	2023-07-25	CHN
H-1559	2023-07-25	VNM
H-1560	2023-07-25	VNM
H-1561	2023-07-25	KHM
H-1562	2023-07-25	VNM
H-1563	2023-07-25	VNM
H-1564	2023-07-25	VNM
H-1565	2023-07-25	VNM
H-1566	2023-07-25	THA
H-1567	2023-07-25	KHM
H-1568	2023-07-25	KHM
H-1569	2023-07-25	KHM
H-1570	2023-07-25	VNM
H-1571	2023-07-25	VNM
H-1572	2023-07-25	VNM
H-1573	2023-07-25	KHM
H-1574	2023-07-25	KHM
H-1575	2023-07-25	VNM
H-1576	2023-07-25	VNM
H-1577	2023-07-25	VNM
H-1578	2023-07-25	LAO
H-1579	2023-07-25	VNM
H-1580	2023-07-25	KHM
H-1581	2023-07-25	VNM
H-1582	2023-07-25	KHM
H-1583	2023-07-25	KHM
H-1584	2023-07-25	VNM
H-1585	2023-07-25	KHM
H-1586	2023-07-25	VNM
H-1587	2023-07-25	LAO
H-1588	2023-07-25	LAO
H-1589	2023-07-25	VNM
H-1590	2023-07-25	VNM
H-1591	2023-07-25	VNM
H-1592	2023-07-25	VNM
H-1593	2023-07-25	VNM
H-1594	2023-07-25	CHN
H-1595	2023-07-25	THA
H-1596	2023-07-25	VNM
H-1597	2023-07-25	KHM
H-1598	2023-07-25	KHM
H-1599	2023-07-25	VNM
H-1600	2023-07-25	VNM
H-1601	2023-07-25	VNM
H-1602	2023-07-25	VNM
H-1603	2023-07-25	THA
H-1604	2023-07-25	VNM
H-1605	2023-07-25	LAO
H-1606	2023-07-25	KHM
H-1607	2023-07-25	KHM
H-1608	2023-07-25	KHM
H-1609	2023-07-25	KHM
H-1610	2023-07-25	THA
H-1611	2023-07-25	KHM
H-1612	2023-07-25	VNM
H-1613	2023-07-25	VNM
H-1614	2023-07-25	THA
H-1615	2023-07-25	CHN
H-1616	2023-07-25	KHM
H-1617	2023-07-25	KHM
H-1618	2023-07-25	KHM
H-1619	2023-07-25	VNM
H-1620	2023-07-25	CHN
H-1621	2023-07-25	VNM
H-1622	2023-07-25	VNM
H-1623	2023-07-25	KHM
H-1624	2023-07-25	THA
H-1625	2023-07-25	VNM
H-1626	2023-07-25	VNM
H-1627	2023-07-25	VNM
H-1628	2023-07-25	KHM
H-1629	2023-07-25	THA
H-1630	2023-07-25	KHM
H-1631	2023-07-25	CHN
H-1632	2023-07-25	VNM
H-1633	2023-07-25	VNM
H-1634	2023-07-25	KHM
H-1635	2023-07-25	VNM
H-1636	2023-07-25	VNM
H-1637	2023-07-25	CHN
H-1638	2023-07-25	VNM
H-1639	2023-07-25	KHM
H-1640	2023-07-25	VNM
H-1641	2023-07-25	VNM
H-1642	2023-07-25	VNM
H-1643	2023-07-25	VNM
H-1644	2023-07-25	VNM
H-1645	2023-07-25	VNM
H-1646	2023-07-25	VNM
H-1647	2023-07-25	KHM
H-1648	2023-07-25	VNM
H-1649	2023-07-25	CHN
H-1650	2023-07-25	THA
H-1651	2023-07-25	KHM
H-1652	2023-07-25	KHM
H-1653	2023-07-25	KHM
H-1654	2023-07-25	KHM
H-1655	2023-07-25	VNM
H-1656	2023-07-25	VNM
H-1657	2023-07-25	VNM
H-1658	2023-07-25	VNM
H-1659	2023-07-25	VNM
H-1660	2023-07-25	KHM
H-1661	2023-07-25	KHM
H-1662	2023-07-25	VNM
H-1663	2023-07-25	VNM
H-1664	2023-07-25	THA
H-1665	2023-07-25	KHM
H-1666	2023-07-25	VNM
H-1667	2023-07-25	VNM
H-1668	2023-07-25	VNM
H-1669	2023-07-25	VNM
H-1670	2023-07-25	KHM
H-1671	2023-07-25	VNM
H-1672	2023-07-25	VNM
H-1673	2023-07-25	VNM
H-1674	2023-07-25	KHM
H-1675	2023-07-25	VNM
H-1676	2023-07-25	VNM
H-1677	2023-07-25	VNM
H-1678	2023-07-25	VNM
H-1679	2023-07-25	CHN
H-1680	2023-07-25	VNM
H-1681	2023-07-25	VNM
H-1682	2023-07-25	VNM
H-1683	2023-07-25	THA
H-1684	2023-07-25	VNM
H-1685	2023-07-25	VNM
H-1686	2023-07-25	VNM
H-1687	2023-07-25	VNM
H-1688	2023-07-25	VNM
H-1689	2023-07-25	LAO
H-1690	2023-07-25	KHM
H-1691	2023-07-25	VNM
H-1692	2023-07-25	VNM
H-1693	2023-07-25	KHM
M-4920	2023-07-25	VNM
M-4921	2023-07-24	CHN
M-4922	2023-07-25	VNM
M-4923	2023-07-25	VNM
M-4924	2023-07-17	KHM
M-4925	2023-07-21	VNM
M-4926	2023-07-18	VNM
M-4927	2023-07-17	VNM
M-4928	2023-07-18	VNM
M-4929	2023-07-20	KHM
M-4930	2023-07-23	VNM
M-4931	2023-07-15	VNM
M-4932	2023-07-18	KHM
M-4933	2023-07-23	VNM
M-4934	2023-07-19	VNM
M-4935	2023-07-23	THA
M-4936	2023-07-23	KHM
M-4937	2023-07-25	VNM
M-4938	2023-07-14	KHM
M-4939	2023-07-25	KHM
M-4940	2023-07-14	VNM
M-4941	2023-07-19	VNM
M-4942	2023-07-19	VNM
M-4943	2023-07-20	VNM
M-4944	2023-07-14	VNM
M-4945	2023-07-25	VNM
M-4946	2023-07-14	LAO
M-4947	2023-07-15	KHM
M-4948	2023-07-21	VNM
M-4949	2023-07-15	VNM
M-4950	2023-07-14	VNM
M-4951	2023-07-25	VNM
M-4952	2023-07-25	VNM
M-4953	2023-07-18	VNM
M-4954	2023-07-14	KHM
M-4955	2023-07-18	CHN
M-4956	2023-07-15	VNM
M-4957	2023-07-21	VNM
M-4958	2023-07-18	VNM
M-4959	2023-07-25	KHM
M-4960	2023-07-14	KHM
M-4961	2023-07-14	VNM
M-4962	2023-07-25	VNM
M-4963	2023-07-25	KHM
M-4964	2023-07-21	KHM
M-4965	2023-07-20	KHM
M-4966	2023-07-25	VNM
M-4967	2023-07-25	KHM
M-4968	2023-07-25	KHM
M-4969	2023-07-17	KHM
M-4970	2023-07-14	VNM
M-4971	2023-07-18	VNM
M-4972	2023-07-18	VNM
M-4973	2023-07-25	VNM
M-4974	2023-07-25	THA
M-4975	2023-07-25	VNM
M-4976	2023-07-14	THA
M-4977	2023-07-14	THA
M-4978	2023-07-19	VNM
M-4979	2023-07-25	VNM
M-4980	2023-07-21	VNM
M-4981	2023-07-25	VNM
M-4982	2023-07-25	VNM
M-4983	2023-07-20	VNM
M-4984	2023-07-25	VNM
M-4985	2023-07-14	VNM
M-4986	2023-07-15	KHM
M-4987	2023-07-25	THA
M-4988	2023-07-17	THA
M-4989	2023-07-18	VNM
M-4990	2023-07-19	THA
M-4991	2023-07-15	VNM
M-4992	2023-07-25	KHM
M-4993	2023-07-25	THA
M-4994	2023-07-19	VNM
M-4995	2023-07-19	VNM
M-4996	2023-07-15	VNM
M-4997	2023-07-14	KHM
M-4998	2023-07-17	VNM
M-4999	2023-07-17	VNM
M-5000	2023-07-19	KHM
M-5001	2023-07-23	KHM
M-5002	2023-07-14	KHM
M-5003	2023-07-19	VNM
M-5004	2023-07-24	VNM
M-5005	2023-07-20	VNM
M-5006	2023-07-19	KHM
M-5007	2023-07-14	VNM
M-5008	2023-07-19	KHM
M-5009	2023-07-25	KHM
M-5010	2023-07-14	VNM
M-5011	2023-07-25	VNM
M-5012	2023-07-14	KHM
M-5013	2023-07-24	VNM
M-5014	2023-07-18	VNM
M-5015	2023-07-17	KHM
M-5016	2023-07-25	VNM
M-5017	2023-07-23	VNM
M-5018	2023-07-15	VNM
M-5019	2023-07-18	VNM
M-5020	2023-07-17	KHM
M-5021	2023-07-25	VNM
M-5022	2023-07-25	VNM
M-5023	2023-07-25	VNM
M-5024	2023-07-25	KHM
M-5025	2023-07-19	KHM
M-5026	2023-07-17	VNM
M-5027	2023-07-17	VNM
M-5028	2023-07-19	VNM
M-5029	2023-07-24	VNM
M-5030	2023-07-19	VNM
M-5031	2023-07-25	VNM
M-5032	2023-07-25	VNM
M-5033	2023-07-18	VNM
M-5034	2023-07-19	VNM
M-5035	2023-07-15	KHM
M-5036	2023-07-25	VNM
M-5037	2023-07-14	KHM
M-5038	2023-07-18	KHM
M-5039	2023-07-21	VNM
M-5040	2023-07-19	VNM
M-5041	2023-07-14	KHM
M-5042	2023-07-19	KHM
M-5043	2023-07-21	KHM
M-5044	2023-07-25	VNM
M-5045	2023-07-14	VNM
M-5046	2023-07-25	VNM
M-5047	2023-07-25	VNM
M-5048	2023-07-15	VNM
M-5049	2023-07-25	THA
M-5050	2023-07-15	VNM
M-5051	2023-07-15	VNM
M-5052	2023-07-14	VNM
M-5053	2023-07-14	KHM
M-5054	2023-07-23	VNM
M-5055	2023-07-25	VNM
M-5056	2023-07-25	VNM
M-5057	2023-07-24	VNM
M-5058	2023-07-14	KHM
M-5059	2023-07-21	VNM
M-5060	2023-07-15	KHM
M-5061	2023-07-14	VNM
M-5062	2023-07-25	VNM
M-5063	2023-07-14	KHM
M-5064	2023-07-25	KHM
M-5065	2023-07-23	THA
M-5066	2023-07-17	THA
M-5067	2023-07-19	VNM
M-5068	2023-07-23	KHM
M-5069	2023-07-25	KHM
M-5070	2023-07-25	VNM
M-5071	2023-07-18	KHM
M-5072	2023-07-25	VNM
M-5073	2023-07-15	VNM
M-5074	2023-07-17	VNM
M-5075	2023-07-14	THA
M-5076	2023-07-14	KHM
M-5077	2023-07-17	VNM
M-5078	2023-07-19	VNM
M-5079	2023-07-14	KHM
M-5080	2023-07-25	KHM
M-5081	2023-07-25	VNM
M-5082	2023-07-15	VNM
M-5083	2023-07-20	VNM
M-5084	2023-07-17	KHM
M-5085	2023-07-25	VNM
M-5086	2023-07-14	VNM
M-5087	2023-07-17	VNM
M-5088	2023-07-15	VNM
M-5089	2023-07-14	VNM
M-5090	2023-07-18	VNM
M-5091	2023-07-17	VNM
M-5092	2023-07-19	VNM
M-5093	2023-07-14	VNM
M-5094	2023-07-21	VNM
M-5095	2023-07-19	VNM
M-5096	2023-07-14	CHN
M-5097	2023-07-18	CHN
M-5098	2023-07-20	VNM
M-5099	2023-07-21	VNM
M-5100	2023-07-20	KHM
M-5101	2023-07-17	KHM
M-5102	2023-07-19	THA
M-5103	2023-07-15	VNM
M-5104	2023-07-25	VNM
M-5105	2023-07-24	KHM
M-5106	2023-07-14	VNM
M-5107	2023-07-15	VNM
M-5108	2023-07-14	VNM
M-5109	2023-07-25	THA
M-5110	2023-07-14	VNM
M-5111	2023-07-25	THA
M-5112	2023-07-18	KHM
M-5113	2023-07-15	VNM
M-5114	2023-07-25	VNM
M-5115	2023-07-25	VNM
M-5116	2023-07-25	VNM
M-5117	2023-07-18	KHM
M-5118	2023-07-14	KHM
M-5119	2023-07-19	VNM
M-5120	2023-07-18	VNM
M-5121	2023-07-21	VNM
M-5122	2023-07-19	KHM
M-5123	2023-07-25	KHM
M-5124	2023-07-25	KHM
M-5125	2023-07-25	KHM
M-5126	2023-07-15	LAO
M-5127	2023-07-18	VNM
M-5128	2023-07-14	KHM
M-5129	2023-07-25	VNM
M-5130	2023-07-19	VNM
M-5131	2023-07-19	VNM
M-5132	2023-07-23	VNM
M-5133	2023-07-21	KHM
M-5134	2023-07-20	KHM
M-5135	2023-07-25	VNM
M-5136	2023-07-25	KHM
M-5137	2023-07-14	VNM
M-5138	2023-07-25	VNM
M-5139	2023-07-14	VNM
M-5140	2023-07-19	VNM
M-5141	2023-07-25	VNM
M-5142	2023-07-18	KHM
M-5143	2023-07-17	KHM
M-5144	2023-07-19	VNM
M-5145	2023-07-25	VNM
M-5146	2023-07-15	VNM
M-5147	2023-07-25	THA
M-5148	2023-07-18	VNM
M-5149	2023-07-14	VNM
M-5150	2023-07-21	VNM
M-5151	2023-07-25	VNM
M-5152	2023-07-25	VNM
M-5153	2023-07-14	KHM
M-5154	2023-07-19	VNM
M-5155	2023-07-25	VNM
M-5156	2023-07-17	VNM
M-5157	2023-07-20	VNM
M-5158	2023-07-18	VNM
M-5159	2023-07-14	KHM
M-5160	2023-07-18	KHM
M-5161	2023-07-19	VNM
M-5162	2023-07-18	VNM
M-5163	2023-07-20	KHM
M-5164	2023-07-18	KHM
M-5165	2023-07-25	CHN
M-5166	2023-07-18	THA
M-5167	2023-07-18	VNM
M-5168	2023-07-14	VNM
M-5169	2023-07-18	VNM
M-5170	2023-07-14	VNM
M-5171	2023-07-25	VNM
M-5172	2023-07-25	VNM
M-5173	2023-07-15	KHM
M-5174	2023-07-17	KHM
M-5175	2023-07-20	KHM
M-5176	2023-07-14	CHN
M-5177	2023-07-20	KHM
M-5178	2023-07-15	VNM
M-5179	2023-07-19	VNM
M-5180	2023-07-17	VNM
M-5181	2023-07-20	VNM
M-5182	2023-07-20	VNM
M-5183	2023-07-25	VNM
M-5184	2023-07-25	VNM
M-5185	2023-07-15	VNM
M-5186	2023-07-25	VNM
M-5187	2023-07-21	VNM
M-5188	2023-07-19	VNM
M-5189	2023-07-14	KHM
M-5190	2023-07-23	VNM
M-5191	2023-07-14	VNM
M-5192	2023-07-25	VNM
M-5193	2023-07-25	VNM
M-5194	2023-07-20	VNM
M-5195	2023-07-15	VNM
M-5196	2023-07-25	KHM
M-5197	2023-07-20	KHM
M-5198	2023-07-20	KHM
M-5199	2023-07-18	VNM
M-5200	2023-07-19	VNM
M-5201	2023-07-21	VNM
M-5202	2023-07-14	VNM
M-5203	2023-07-14	VNM
M-5204	2023-07-21	VNM
M-5205	2023-07-14	VNM
M-5206	2023-07-15	KHM
M-5207	2023-07-24	VNM
M-5208	2023-07-24	VNM
M-5209	2023-07-19	VNM
M-5210	2023-07-21	VNM
M-5211	2023-07-19	THA
M-5212	2023-07-18	THA
M-5213	2023-07-15	VNM
M-5214	2023-07-25	VNM
M-5215	2023-07-15	VNM
M-5216	2023-07-15	KHM
M-5217	2023-07-21	KHM
M-5218	2023-07-17	VNM
M-5219	2023-07-24	VNM
M-5220	2023-07-18	THA
M-5221	2023-07-23	VNM
M-5222	2023-07-19	CHN
M-5223	2023-07-25	VNM
M-5224	2023-07-14	KHM
M-5225	2023-07-14	KHM
M-5226	2023-07-25	CHN
M-5227	2023-07-15	VNM
M-5228	2023-07-19	VNM
M-5229	2023-07-24	VNM
M-5230	2023-07-25	LAO
M-5231	2023-07-17	CHN
M-5232	2023-07-19	VNM
M-5233	2023-07-14	KHM
M-5234	2023-07-14	VNM
M-5235	2023-07-19	VNM
M-5236	2023-07-19	VNM
M-5237	2023-07-17	KHM
M-5238	2023-07-14	KHM
M-5239	2023-07-14	KHM
M-5240	2023-07-18	KHM
M-5241	2023-07-20	KHM
M-5242	2023-07-20	VNM
M-5243	2023-07-25	KHM
M-5244	2023-07-19	KHM
M-5245	2023-07-15	KHM
M-5246	2023-07-19	KHM
M-5247	2023-07-18	KHM
M-5248	2023-07-14	KHM
M-5249	2023-07-25	KHM
M-5250	2023-07-14	KHM
M-5251	2023-07-25	VNM
M-5252	2023-07-17	KHM
M-5253	2023-07-23	VNM
M-5254	2023-07-20	VNM
M-5255	2023-07-14	KHM
M-5256	2023-07-15	VNM
M-5257	2023-07-19	VNM
M-5258	2023-07-25	VNM
M-5259	2023-07-15	VNM
M-5260	2023-07-20	VNM
M-5261	2023-07-25	VNM
M-5262	2023-07-21	VNM
M-5263	2023-07-15	VNM
M-5264	2023-07-19	THA
M-5265	2023-07-15	VNM
M-5266	2023-07-14	VNM
M-5267	2023-07-25	KHM
M-5268	2023-07-17	VNM
M-5269	2023-07-15	KHM
M-5270	2023-07-25	VNM
M-5271	2023-07-17	VNM
M-5272	2023-07-15	KHM
M-5273	2023-07-18	VNM
M-5274	2023-07-25	VNM
M-5275	2023-07-15	VNM
M-5276	2023-07-19	CHN
M-5277	2023-07-24	VNM
M-5278	2023-07-18	VNM
M-5279	2023-07-15	VNM
M-5280	2023-07-25	CHN
M-5281	2023-07-17	KHM
M-5282	2023-07-19	KHM
M-5283	2023-07-24	VNM
M-5284	2023-07-20	VNM
M-5285	2023-07-24	VNM
M-5286	2023-07-18	VNM
M-5287	2023-07-24	VNM
M-5288	2023-07-25	VNM
M-5289	2023-07-19	VNM
M-5290	2023-07-14	VNM
M-5291	2023-07-17	VNM
M-5292	2023-07-24	VNM
M-5293	2023-07-25	VNM
M-5294	2023-07-21	KHM
M-5295	2023-07-21	KHM
M-5296	2023-07-17	KHM
M-5297	2023-07-17	VNM
M-5298	2023-07-25	VNM
M-5299	2023-07-25	VNM
M-5300	2023-07-25	VNM
M-5301	2023-07-15	VNM
M-5302	2023-07-25	VNM
M-5303	2023-07-25	LAO
M-5304	2023-07-25	LAO
M-5305	2023-07-15	VNM
M-5306	2023-07-25	VNM
M-5307	2023-07-25	KHM
M-5308	2023-07-19	VNM
M-5309	2023-07-20	KHM
M-5310	2023-07-15	CHN
M-5311	2023-07-25	KHM
M-5312	2023-07-19	KHM
M-5313	2023-07-25	KHM
M-5314	2023-07-25	KHM
M-5315	2023-07-17	KHM
M-5316	2023-07-17	KHM
M-5317	2023-07-17	VNM
M-5318	2023-07-20	KHM
M-5319	2023-07-21	KHM
M-5320	2023-07-15	VNM
M-5321	2023-07-20	VNM
M-5322	2023-07-25	KHM
M-5323	2023-07-15	VNM
M-5324	2023-07-15	VNM
M-5325	2023-07-25	VNM
M-5326	2023-07-14	KHM
M-5327	2023-07-20	KHM
M-5328	2023-07-14	KHM
M-5329	2023-07-15	VNM
M-5330	2023-07-19	VNM
M-5331	2023-07-23	THA
M-5332	2023-07-14	THA
M-5333	2023-07-17	VNM
M-5334	2023-07-25	VNM
M-5335	2023-07-19	KHM
M-5336	2023-07-19	KHM
M-5337	2023-07-20	KHM
M-5338	2023-07-25	VNM
M-5339	2023-07-14	VNM
M-5340	2023-07-25	THA
M-5341	2023-07-25	LAO
M-5342	2023-07-18	VNM
M-5343	2023-07-25	VNM
M-5344	2023-07-17	VNM
M-5345	2023-07-25	VNM
M-5346	2023-07-14	VNM
M-5347	2023-07-19	VNM
M-5348	2023-07-18	VNM
M-5349	2023-07-20	VNM
M-5350	2023-07-23	VNM
M-5351	2023-07-14	VNM
M-5352	2023-07-15	VNM
M-5353	2023-07-14	VNM
M-5354	2023-07-15	VNM
M-5355	2023-07-25	VNM
M-5356	2023-07-25	VNM
M-5357	2023-07-25	VNM
M-5358	2023-07-17	VNM
M-5359	2023-07-14	VNM
M-5360	2023-07-25	THA
M-5361	2023-07-15	THA
M-5362	2023-07-25	VNM
M-5363	2023-07-17	VNM
M-5364	2023-07-25	KHM
M-5365	2023-07-25	VNM
M-5366	2023-07-14	VNM
M-5367	2023-07-14	CHN
M-5368	2023-07-23	CHN
M-5369	2023-07-14	VNM
M-5370	2023-07-20	VNM
M-5371	2023-07-19	VNM
M-5372	2023-07-17	VNM
M-5373	2023-07-25	VNM
M-5374	2023-07-25	KHM
M-5375	2023-07-17	KHM
M-5376	2023-07-25	VNM
M-5377	2023-07-25	VNM
M-5378	2023-07-25	KHM
M-5379	2023-07-23	VNM
M-5380	2023-07-24	VNM
M-5381	2023-07-19	VNM
M-5382	2023-07-17	VNM
M-5383	2023-07-14	VNM
M-5384	2023-07-19	VNM
M-5385	2023-07-25	VNM
M-5386	2023-07-19	KHM
M-5387	2023-07-20	KHM
M-5388	2023-07-18	KHM
M-5389	2023-07-15	KHM
M-5390	2023-07-19	VNM
M-5391	2023-07-24	KHM
M-5392	2023-07-19	KHM
M-5393	2023-07-19	KHM
M-5394	2023-07-15	VNM
M-5395	2023-07-14	VNM
M-5396	2023-07-15	VNM
M-5397	2023-07-21	VNM
M-5398	2023-07-15	VNM
M-5399	2023-07-25	VNM
M-5400	2023-07-25	VNM
M-5401	2023-07-21	VNM
M-5402	2023-07-19	KHM
M-5403	2023-07-15	VNM
M-5404	2023-07-18	VNM
M-5405	2023-07-25	VNM
M-5406	2023-07-14	KHM
M-5407	2023-07-19	KHM
M-5408	2023-07-14	KHM
M-5409	2023-07-25	KHM
M-5410	2023-07-19	VNM
M-5411	2023-07-25	VNM
M-5412	2023-07-15	VNM
M-5413	2023-07-14	KHM
M-5414	2023-07-14	KHM
M-5415	2023-07-18	KHM
M-5416	2023-07-14	VNM
M-5417	2023-07-19	VNM
M-5418	2023-07-15	VNM
M-5419	2023-07-15	KHM
M-5420	2023-07-17	KHM
M-5421	2023-07-21	KHM
M-5422	2023-07-23	VNM
M-5423	2023-07-14	VNM
M-5424	2023-07-25	KHM
M-5425	2023-07-25	VNM
